,-1,0,1,2
"[23.0, 36.0, 14.0, 22.0]",28.811239038,17.813406482,19.8507645944,99.1640073979
"[24.0, 45.0, 6.0, 39.0]",20.3834043157,84.4237329765,25.8707813905,18.8027176991
"[72.0, 71.0, 0.0, 71.0]",13.2035737874,67.4909803178,19.6280797071,20.0645840016
"[-35.0, 32.0, 21.0, 11.0]",3.35522713886,8.89364035491,48.2223114604,12.1808509252
"[-11.0, 43.0, 23.0, 20.0]",-12.4146452667,-6.88049749096,-6.2074509743,-19.8157882729
"[-22.0, 39.0, 30.0, 9.0]",-19.6657643757,-10.9943176692,-10.6016170345,-14.7962540382
"[-9.0, 37.0, 16.0, 21.0]",-13.6318482732,-10.8635681582,-12.7777674933,-12.8271268863
"[16.0, 48.0, 16.0, 32.0]",-13.5648748461,-12.1721962559,-12.2926610893,-12.344092641
"[44.0, 42.0, -1.0, 43.0]",-16.8712123632,-13.9966541927,-13.9925066616,-15.6598398907
"[-30.0, 68.0, 30.0, 38.0]",-17.6500238605,-17.0184333484,-16.6706932817,-18.4945736812
"[18.0, 47.0, 2.0, 45.0]",-21.0350080548,-18.8640453564,-19.0591589969,-22.9621661053
"[-23.0, 28.0, 27.0, 1.0]",-59.6064943329,-19.5800821553,-26.0711576811,-51.943734307
"[14.0, 34.0, 0.0, 34.0]",-19.5641543574,-8.36673891628,-7.73451757439,-11.9293803045
"[-22.0, 36.0, 21.0, 15.0]",-9.54138949017,-9.09675358971,-9.40019079508,-9.50057169516
"[34.0, 24.0, -1.0, 25.0]",-9.56880925669,-9.66043610693,-9.1125068103,-9.70470184308
"[-14.0, 45.0, 20.0, 25.0]",-12.4536329976,-9.46640432371,-9.47048182488,-12.6104776145
"[-4.0, 22.0, 12.0, 10.0]",-23.1221018783,-12.7092273264,-23.9792399719,-39.4726514616
"[-30.0, 37.0, 32.0, 5.0]",-11.3194826252,-11.3242462018,-11.2765347591,-13.7063932315
"[18.0, 34.0, 11.0, 23.0]",-15.9542305438,-14.739391498,-16.0121434358,-17.6519608698
"[13.0, 35.0, 0.0, 35.0]",-13.2031996596,-13.3799790611,-13.3851294669,-12.9663728849
"[1.0, 19.0, 13.0, 6.0]",-40.0489619792,-42.3718737074,-61.3902015267,-67.2732402603
"[-22.0, 42.0, 28.0, 14.0]",-3.40665324878,18.7221723255,6.92795138883,-2.64493731395
"[-2.0, 21.0, 16.0, 5.0]",-2.45935164572,-0.565743842804,33.5901929654,9.0965301224
"[-39.0, 49.0, 40.0, 9.0]",-25.9395791405,-2.71515120668,0.220477049027,-20.380694058
"[-72.0, 70.0, 74.0, -4.0]",-23.8857327286,-6.29772670526,-6.9098716078,-23.0497112281
"[-2.0, 40.0, 15.0, 25.0]",-67.8078905789,-7.87094280773,-6.34971726617,-57.8830817861
"[-11.0, 15.0, 9.0, 6.0]",-56.5067792478,-11.1426345341,-8.25737689862,-47.460341581
"[-17.0, 43.0, 25.0, 18.0]",-63.876090845,-26.1511875207,-23.6119774369,-62.4104493807
"[1.0, 20.0, 4.0, 16.0]",-75.6812797654,-32.5522038224,-24.1070326554,-54.3814631773
