,0,1,2
"[[80, 0, 80, '0.971', '1.281'], [80, 0, 80, '0.971', '1.281'], [80, 0, 80, '0.971', '1.281'], [80, 0, 80, '0.971', '1.281'], [80, 0, 80, '0.971', '1.281']]",27.101207124,41.5109496042,38.5278855569
"[[80, 69, 11, '0.974', '0.842'], [80, 69, 11, '0.974', '0.842'], [80, 69, 11, '0.974', '0.842'], [80, 69, 11, '0.974', '0.842'], [80, 69, 11, '0.974', '0.842']]",26.0426174016,37.0783633694,38.8406056919
"[[68, 29, 39, '0.98', '1.468'], [68, 29, 39, '0.98', '1.468'], [68, 29, 39, '0.98', '1.468'], [68, 29, 39, '0.98', '1.468'], [68, 29, 39, '0.98', '1.468']]",24.6783848866,29.5117855389,41.7875885316
"[[68, 42, 26, '0.989', '1.284'], [68, 42, 26, '0.989', '1.284'], [68, 42, 26, '0.989', '1.284'], [68, 42, 26, '0.989', '1.284'], [68, 42, 26, '0.989', '1.284']]",24.5735439779,29.9597751139,40.1519886581
"[[75, 22, 53, '0.987', '1.225'], [75, 22, 53, '0.987', '1.225'], [75, 22, 53, '0.987', '1.225'], [75, 22, 53, '0.987', '1.225'], [75, 22, 53, '0.987', '1.225']]",23.3235238226,28.3231949138,38.5368414105
"[[109, 110, -1, '1.008', '0.948'], [109, 110, -1, '1.008', '0.948'], [109, 110, -1, '1.008', '0.948'], [109, 110, -1, '1.008', '0.948'], [109, 110, -1, '1.008', '0.948']]",22.1650366966,26.6325848063,36.9273986908
"[[79, 0, 79, '1.001', '0.875'], [79, 0, 79, '1.001', '0.875'], [79, 0, 79, '1.001', '0.875'], [79, 0, 79, '1.001', '0.875'], [79, 0, 79, '1.001', '0.875']]",21.8447886413,25.8688485479,36.1268985636
"[[71, 20, 51, '0.985', '0.747'], [71, 20, 51, '0.985', '0.747'], [71, 20, 51, '0.985', '0.747'], [71, 20, 51, '0.985', '0.747'], [71, 20, 51, '0.985', '0.747']]",20.8031700148,25.3860187679,35.2814431259
"[[55, 15, 40, '0.985', '1.333'], [55, 15, 40, '0.985', '1.333'], [55, 15, 40, '0.985', '1.333'], [55, 15, 40, '0.985', '1.333'], [55, 15, 40, '0.985', '1.333']]",19.2382151313,23.4857672499,33.8214225718
"[[49, 39, 10, '0.988', '1.209'], [49, 39, 10, '0.988', '1.209'], [49, 39, 10, '0.988', '1.209'], [49, 39, 10, '0.988', '1.209'], [49, 39, 10, '0.988', '1.209']]",19.1698733604,23.582594416,32.3755476605
"[[61, 23, 38, '0.985', '1.12'], [61, 23, 38, '0.985', '1.12'], [61, 23, 38, '0.985', '1.12'], [61, 23, 38, '0.985', '1.12'], [61, 23, 38, '0.985', '1.12']]",18.3089298798,22.9873068927,31.1321529214
"[[55, 41, 14, '0.99', '0.926'], [55, 41, 14, '0.99', '0.926'], [55, 41, 14, '0.99', '0.926'], [55, 41, 14, '0.99', '0.926'], [55, 41, 14, '0.99', '0.926']]",17.723282201,22.3085699841,29.9236100023
"[[37, 12, 25, '1.004', '0.978'], [37, 12, 25, '1.004', '0.978'], [37, 12, 25, '1.004', '0.978'], [37, 12, 25, '1.004', '0.978'], [37, 12, 25, '1.004', '0.978']]",16.9216726111,21.8307315319,28.6048448018
"[[66, 54, 12, '1.014', '1.13'], [66, 54, 12, '1.014', '1.13'], [66, 54, 12, '1.014', '1.13'], [66, 54, 12, '1.014', '1.13'], [66, 54, 12, '1.014', '1.13']]",16.1671115801,19.639856126,27.1460274714
"[[27, 13, 14, '1.01', '1.689'], [27, 13, 14, '1.01', '1.689'], [27, 13, 14, '1.01', '1.689'], [27, 13, 14, '1.01', '1.689'], [27, 13, 14, '1.01', '1.689']]",15.0093072201,20.0646306233,26.1113792255
"[[28, 6, 22, '1.007', '1.786'], [28, 6, 22, '1.007', '1.786'], [28, 6, 22, '1.007', '1.786'], [28, 6, 22, '1.007', '1.786'], [28, 6, 22, '1.007', '1.786']]",14.8699435379,18.3449159225,25.33162878
"[[48, 32, 16, '1.008', '0.98'], [48, 32, 16, '1.008', '0.98'], [48, 32, 16, '1.008', '0.98'], [48, 32, 16, '1.008', '0.98'], [48, 32, 16, '1.008', '0.98']]",14.0045199492,18.5745992902,24.4229437789
"[[130, 0, 130, '0.994', '0.636'], [130, 0, 130, '0.994', '0.636'], [130, 0, 130, '0.994', '0.636'], [130, 0, 130, '0.994', '0.636'], [130, 0, 130, '0.994', '0.636']]",13.4685192112,18.587382646,22.1549405856
"[[60, 63, -3, '1.004', '1.046'], [60, 63, -3, '1.004', '1.046'], [60, 63, -3, '1.004', '1.046'], [60, 63, -3, '1.004', '1.046'], [60, 63, -3, '1.004', '1.046']]",12.7427797445,16.9547523649,20.3884811491
"[[53, 14, 39, '1.005', '0.787'], [53, 14, 39, '1.005', '0.787'], [53, 14, 39, '1.005', '0.787'], [53, 14, 39, '1.005', '0.787'], [53, 14, 39, '1.005', '0.787']]",11.8570455985,15.0092173938,19.5744660592
"[[118, 108, 10, '1.019', '0.703'], [118, 108, 10, '1.019', '0.703'], [118, 108, 10, '1.019', '0.703'], [118, 108, 10, '1.019', '0.703'], [118, 108, 10, '1.019', '0.703']]",11.288166412,14.5938216636,18.5137084644
"[[47, 11, 36, '1.012', '0.868'], [47, 11, 36, '1.012', '0.868'], [47, 11, 36, '1.012', '0.868'], [47, 11, 36, '1.012', '0.868'], [47, 11, 36, '1.012', '0.868']]",10.9041746851,14.4448667575,18.0691639851
"[[46, 44, 2, '1.027', '0.779'], [46, 44, 2, '1.027', '0.779'], [46, 44, 2, '1.027', '0.779'], [46, 44, 2, '1.027', '0.779'], [46, 44, 2, '1.027', '0.779']]",10.6631393107,13.8503155604,17.4855167205
"[[36, 14, 22, '1.02', '1.654'], [36, 14, 22, '1.02', '1.654'], [36, 14, 22, '1.02', '1.654'], [36, 14, 22, '1.02', '1.654'], [36, 14, 22, '1.02', '1.654']]",10.1306268407,15.2711905995,15.9607626353
"[[35, 21, 14, '1.021', '1.452'], [35, 21, 14, '1.021', '1.452'], [35, 21, 14, '1.021', '1.452'], [35, 21, 14, '1.021', '1.452'], [35, 21, 14, '1.021', '1.452']]",9.36331857259,13.1843213008,16.868306085
"[[37, 12, 25, '1.019', '1.568'], [37, 12, 25, '1.019', '1.568'], [37, 12, 25, '1.019', '1.568'], [37, 12, 25, '1.019', '1.568'], [37, 12, 25, '1.019', '1.568']]",9.6387412592,13.0360944461,16.4066273381
"[[64, 71, -7, '1.025', '1.244'], [64, 71, -7, '1.025', '1.244'], [64, 71, -7, '1.025', '1.244'], [64, 71, -7, '1.025', '1.244'], [64, 71, -7, '1.025', '1.244']]",8.40276568657,12.488506129,15.677997543
"[[99, 40, 59, '1.014', '0.876'], [99, 40, 59, '1.014', '0.876'], [99, 40, 59, '1.014', '0.876'], [99, 40, 59, '1.014', '0.876'], [99, 40, 59, '1.014', '0.876']]",8.13942497198,13.0245878204,14.6342673897
"[[48, 24, 24, '1.013', '1.094'], [48, 24, 24, '1.013', '1.094'], [48, 24, 24, '1.013', '1.094'], [48, 24, 24, '1.013', '1.094'], [48, 24, 24, '1.013', '1.094']]",7.59253390524,11.8014353917,13.2546345315
"[[29, 13, 16, '1.007', '1.619'], [29, 13, 16, '1.007', '1.619'], [29, 13, 16, '1.007', '1.619'], [29, 13, 16, '1.007', '1.619'], [29, 13, 16, '1.007', '1.619']]",7.24698462168,12.94617968,12.1645790101
